danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_name
0.442,0.0837,5,-28.286,1,0.0405,0.987,0.947,0.109,0.147,150.64,audio_features,1XkTvyqh9ECRpqwbnxoZCv,spotify:track:1XkTvyqh9ECRpqwbnxoZCv,https://api.spotify.com/v1/tracks/1XkTvyqh9ECRpqwbnxoZCv,https://api.spotify.com/v1/audio-analysis/1XkTvyqh9ECRpqwbnxoZCv,157500,1,Bjarni Erlingursson,When We Dance
0.317,0.0349,8,-30.853,1,0.037,0.993,0.806,0.117,0.12,74.547,audio_features,2QV0SPhmLDd9jqshZRnLY5,spotify:track:2QV0SPhmLDd9jqshZRnLY5,https://api.spotify.com/v1/tracks/2QV0SPhmLDd9jqshZRnLY5,https://api.spotify.com/v1/audio-analysis/2QV0SPhmLDd9jqshZRnLY5,117625,4,James Quinn,A Gentle Sunlight
0.371,0.0146,5,-27.549,1,0.0436,0.994,0.947,0.13,0.118,113.826,audio_features,2vevoLZEoZTCAYsvc1TDnq,spotify:track:2vevoLZEoZTCAYsvc1TDnq,https://api.spotify.com/v1/tracks/2vevoLZEoZTCAYsvc1TDnq,https://api.spotify.com/v1/audio-analysis/2vevoLZEoZTCAYsvc1TDnq,194948,4,Rosa Monteiro,Velez-Malaga
0.592,0.286,5,-24.379,1,0.0606,0.939,0.791,0.124,0.355,91.257,audio_features,2TAIbjpQTCZPkqB40Z8xA3,spotify:track:2TAIbjpQTCZPkqB40Z8xA3,https://api.spotify.com/v1/tracks/2TAIbjpQTCZPkqB40Z8xA3,https://api.spotify.com/v1/audio-analysis/2TAIbjpQTCZPkqB40Z8xA3,120500,3,Isaac Cassidy,Simple Beauty
0.588,0.128,2,-26.622,0,0.0453,0.981,0.91,0.122,0.0747,110.518,audio_features,5YwXUOcRaJNOoEImMYLIfu,spotify:track:5YwXUOcRaJNOoEImMYLIfu,https://api.spotify.com/v1/tracks/5YwXUOcRaJNOoEImMYLIfu,https://api.spotify.com/v1/audio-analysis/5YwXUOcRaJNOoEImMYLIfu,170875,4,Lorenzo Fiore,Luna piena
0.342,0.0314,3,-31.943,1,0.0447,0.992,0.919,0.122,0.0615,77.602,audio_features,4m1nRLXsFQE7dNQGDxCvlX,spotify:track:4m1nRLXsFQE7dNQGDxCvlX,https://api.spotify.com/v1/tracks/4m1nRLXsFQE7dNQGDxCvlX,https://api.spotify.com/v1/audio-analysis/4m1nRLXsFQE7dNQGDxCvlX,172625,4,Giacinta Toscano,Colori autunnali
0.323,0.0334,5,-27.783,1,0.0358,0.991,0.936,0.0931,0.177,87.797,audio_features,4li3ITSBXpSovNGyNEBDeM,spotify:track:4li3ITSBXpSovNGyNEBDeM,https://api.spotify.com/v1/tracks/4li3ITSBXpSovNGyNEBDeM,https://api.spotify.com/v1/audio-analysis/4li3ITSBXpSovNGyNEBDeM,179305,4,Leon den Engelsen,In Good And Bad Times
0.342,0.00906,10,-24.475,1,0.0429,0.984,0.945,0.114,0.168,123.324,audio_features,4Si7JHUD6XLygvGzNFyBMa,spotify:track:4Si7JHUD6XLygvGzNFyBMa,https://api.spotify.com/v1/tracks/4Si7JHUD6XLygvGzNFyBMa,https://api.spotify.com/v1/audio-analysis/4Si7JHUD6XLygvGzNFyBMa,190724,4,Grace Valiery,Amihan
0.448,0.00739,1,-28.005,1,0.0384,0.988,0.948,0.111,0.323,61.133,audio_features,4etRflD5pUsnz108tx1xAc,spotify:track:4etRflD5pUsnz108tx1xAc,https://api.spotify.com/v1/tracks/4etRflD5pUsnz108tx1xAc,https://api.spotify.com/v1/audio-analysis/4etRflD5pUsnz108tx1xAc,181223,4,Solène Garnier,Papillon
0.452,0.00474,9,-28.259,1,0.0413,0.985,0.946,0.103,0.214,81.333,audio_features,6fE1QsCn1UPxiXgOPvqKo0,spotify:track:6fE1QsCn1UPxiXgOPvqKo0,https://api.spotify.com/v1/tracks/6fE1QsCn1UPxiXgOPvqKo0,https://api.spotify.com/v1/audio-analysis/6fE1QsCn1UPxiXgOPvqKo0,143793,3,William Cas,Once More
0.453,0.0436,10,-25.912,0,0.0364,0.99,0.842,0.111,0.198,71.987,audio_features,7FyzToHhKG9b9gS19kWg8a,spotify:track:7FyzToHhKG9b9gS19kWg8a,https://api.spotify.com/v1/tracks/7FyzToHhKG9b9gS19kWg8a,https://api.spotify.com/v1/audio-analysis/7FyzToHhKG9b9gS19kWg8a,166000,4,Deborah Fulmen,Circumstances
0.342,0.0311,2,-22.175,1,0.0395,0.989,0.913,0.0989,0.133,132.764,audio_features,4PzCduZiQfY4E4661r2V3u,spotify:track:4PzCduZiQfY4E4661r2V3u,https://api.spotify.com/v1/tracks/4PzCduZiQfY4E4661r2V3u,https://api.spotify.com/v1/audio-analysis/4PzCduZiQfY4E4661r2V3u,167333,3,Ali Toygar,Roots
0.335,0.0769,7,-25.454,0,0.0334,0.99,0.899,0.0952,0.0595,94.75,audio_features,7CnmcN4DEFQzrZZIlwGqoC,spotify:track:7CnmcN4DEFQzrZZIlwGqoC,https://api.spotify.com/v1/tracks/7CnmcN4DEFQzrZZIlwGqoC,https://api.spotify.com/v1/audio-analysis/7CnmcN4DEFQzrZZIlwGqoC,188639,4,Agnes Klein,Unspoken Declarations
0.481,0.0639,2,-24.46,0,0.0449,0.991,0.942,0.0922,0.301,125.058,audio_features,1nJE8TEWK9hf9Bl0pekJCi,spotify:track:1nJE8TEWK9hf9Bl0pekJCi,https://api.spotify.com/v1/tracks/1nJE8TEWK9hf9Bl0pekJCi,https://api.spotify.com/v1/audio-analysis/1nJE8TEWK9hf9Bl0pekJCi,140556,4,Javi Lobe,Lost Time
0.331,0.0125,0,-29.834,1,0.0401,0.991,0.882,0.109,0.128,128.579,audio_features,6CTYTP3Kb3TKDLurnsPcOP,spotify:track:6CTYTP3Kb3TKDLurnsPcOP,https://api.spotify.com/v1/tracks/6CTYTP3Kb3TKDLurnsPcOP,https://api.spotify.com/v1/audio-analysis/6CTYTP3Kb3TKDLurnsPcOP,170992,3,Lander Jacobson,Colorado Nights
0.215,0.109,0,-27.799,0,0.0321,0.994,0.873,0.166,0.483,88.886,audio_features,5ZWodvcCq8kTLjfy821dRO,spotify:track:5ZWodvcCq8kTLjfy821dRO,https://api.spotify.com/v1/tracks/5ZWodvcCq8kTLjfy821dRO,https://api.spotify.com/v1/audio-analysis/5ZWodvcCq8kTLjfy821dRO,139110,3,Piotr Wiese,Waiting for You
0.419,0.0391,3,-28.006,1,0.0362,0.995,0.946,0.114,0.414,92.371,audio_features,6fcBDcZTZVx1jJAED8KYv0,spotify:track:6fcBDcZTZVx1jJAED8KYv0,https://api.spotify.com/v1/tracks/6fcBDcZTZVx1jJAED8KYv0,https://api.spotify.com/v1/audio-analysis/6fcBDcZTZVx1jJAED8KYv0,170566,3,Emilia Branco,Boundaries
0.454,0.0726,2,-25.57,1,0.0597,0.992,0.945,0.11,0.256,80.211,audio_features,1KVKQkKQ6pk8Hai7aKj5nx,spotify:track:1KVKQkKQ6pk8Hai7aKj5nx,https://api.spotify.com/v1/tracks/1KVKQkKQ6pk8Hai7aKj5nx,https://api.spotify.com/v1/audio-analysis/1KVKQkKQ6pk8Hai7aKj5nx,120000,3,Bodi Lukasz,Misérable
0.348,0.0407,10,-25.229,1,0.0508,0.987,0.921,0.118,0.0447,111.386,audio_features,4FRPWTwl40uOHMslTL7fGa,spotify:track:4FRPWTwl40uOHMslTL7fGa,https://api.spotify.com/v1/tracks/4FRPWTwl40uOHMslTL7fGa,https://api.spotify.com/v1/audio-analysis/4FRPWTwl40uOHMslTL7fGa,121125,3,Justus Rümenapp,Once when I was young
0.244,0.0407,3,-31.038,1,0.0438,0.989,0.882,0.0993,0.363,165.574,audio_features,4J3NvJOHStUHwgpc3Gqk2K,spotify:track:4J3NvJOHStUHwgpc3Gqk2K,https://api.spotify.com/v1/tracks/4J3NvJOHStUHwgpc3Gqk2K,https://api.spotify.com/v1/audio-analysis/4J3NvJOHStUHwgpc3Gqk2K,118000,4,Tyra Lindqvist,Tu m'appartiens
0.521,0.0058,3,-29.357,1,0.0459,0.994,0.961,0.143,0.416,64.963,audio_features,3y3krIeEKphe51xVjdHLXm,spotify:track:3y3krIeEKphe51xVjdHLXm,https://api.spotify.com/v1/tracks/3y3krIeEKphe51xVjdHLXm,https://api.spotify.com/v1/audio-analysis/3y3krIeEKphe51xVjdHLXm,160250,4,Luanna Averie,A bed of tulips
0.481,0.0426,5,-25.072,1,0.0329,0.994,0.928,0.0933,0.454,140.637,audio_features,5tUoI7u3zsCo9KCx5s3GQh,spotify:track:5tUoI7u3zsCo9KCx5s3GQh,https://api.spotify.com/v1/tracks/5tUoI7u3zsCo9KCx5s3GQh,https://api.spotify.com/v1/audio-analysis/5tUoI7u3zsCo9KCx5s3GQh,156907,4,John Thomas Remington,Close
0.277,0.017,1,-30.762,0,0.0439,0.991,0.861,0.108,0.133,167.967,audio_features,1valVbc0kxrTxrT4nf3x9t,spotify:track:1valVbc0kxrTxrT4nf3x9t,https://api.spotify.com/v1/tracks/1valVbc0kxrTxrT4nf3x9t,https://api.spotify.com/v1/audio-analysis/1valVbc0kxrTxrT4nf3x9t,159000,3,Placid Warren,Blue Water Floats
0.39,0.0346,6,-30.959,1,0.0448,0.994,0.938,0.116,0.223,122.709,audio_features,1OJmKyPXayT4TID0XE2uxt,spotify:track:1OJmKyPXayT4TID0XE2uxt,https://api.spotify.com/v1/tracks/1OJmKyPXayT4TID0XE2uxt,https://api.spotify.com/v1/audio-analysis/1OJmKyPXayT4TID0XE2uxt,148000,4,Jacob David & Elliott Jacqués,Stundom
0.51,0.00885,8,-28.703,1,0.044,0.993,0.958,0.0917,0.405,106.89,audio_features,28JVD0j9MIraxyvP7j60uy,spotify:track:28JVD0j9MIraxyvP7j60uy,https://api.spotify.com/v1/tracks/28JVD0j9MIraxyvP7j60uy,https://api.spotify.com/v1/audio-analysis/28JVD0j9MIraxyvP7j60uy,199287,4,Alexander Luchs,Piha
0.372,0.0702,9,-32.329,0,0.0414,0.991,0.948,0.0994,0.244,98.122,audio_features,1U8o73TurMXghX2kqF99EG,spotify:track:1U8o73TurMXghX2kqF99EG,https://api.spotify.com/v1/tracks/1U8o73TurMXghX2kqF99EG,https://api.spotify.com/v1/audio-analysis/1U8o73TurMXghX2kqF99EG,141013,3,Elliott Jacqués & Jacob David,Now and Then
0.421,0.0264,3,-26.632,0,0.0364,0.989,0.92,0.11,0.263,60.885,audio_features,1GsXfbpjrnAr8G4LcnhlPt,spotify:track:1GsXfbpjrnAr8G4LcnhlPt,https://api.spotify.com/v1/tracks/1GsXfbpjrnAr8G4LcnhlPt,https://api.spotify.com/v1/audio-analysis/1GsXfbpjrnAr8G4LcnhlPt,158000,4,Little Marions,Larissa
0.345,0.0817,2,-27.555,1,0.0393,0.978,0.892,0.102,0.263,133.585,audio_features,0NOLY8oi9pVOHNrpMiVOC6,spotify:track:0NOLY8oi9pVOHNrpMiVOC6,https://api.spotify.com/v1/tracks/0NOLY8oi9pVOHNrpMiVOC6,https://api.spotify.com/v1/audio-analysis/0NOLY8oi9pVOHNrpMiVOC6,168500,4,Karen Elf,Certain
0.37,0.043,0,-24.349,1,0.0353,0.983,0.94,0.106,0.451,115.895,audio_features,3VF1j2dGIyKpymo10lG2G5,spotify:track:3VF1j2dGIyKpymo10lG2G5,https://api.spotify.com/v1/tracks/3VF1j2dGIyKpymo10lG2G5,https://api.spotify.com/v1/audio-analysis/3VF1j2dGIyKpymo10lG2G5,174000,4,Matti Bye,Glänta
0.277,0.00176,0,-43.303,1,0.0485,0.99,0.945,0.103,0.0795,110.541,audio_features,4xTvAj3iYFWOoeaErsNwbj,spotify:track:4xTvAj3iYFWOoeaErsNwbj,https://api.spotify.com/v1/tracks/4xTvAj3iYFWOoeaErsNwbj,https://api.spotify.com/v1/audio-analysis/4xTvAj3iYFWOoeaErsNwbj,135648,4,Brian Lyndon,Wake with me
0.357,0.0431,2,-25.461,1,0.0334,0.992,0.948,0.13,0.0698,131.976,audio_features,4xqay5NL9jPHSCP2mo3U67,spotify:track:4xqay5NL9jPHSCP2mo3U67,https://api.spotify.com/v1/tracks/4xqay5NL9jPHSCP2mo3U67,https://api.spotify.com/v1/audio-analysis/4xqay5NL9jPHSCP2mo3U67,313973,4,Stephan Moccio,Le Jardin de Monsieur Monet
0.519,0.0348,8,-25.859,1,0.0385,0.994,0.914,0.113,0.186,98.795,audio_features,7LLLc3Gxg6zRm9lKtmuCGR,spotify:track:7LLLc3Gxg6zRm9lKtmuCGR,https://api.spotify.com/v1/tracks/7LLLc3Gxg6zRm9lKtmuCGR,https://api.spotify.com/v1/audio-analysis/7LLLc3Gxg6zRm9lKtmuCGR,129123,4,Jonathan Beaujean,Night Light
0.299,0.0428,2,-31.855,1,0.0353,0.991,0.846,0.0935,0.261,96.132,audio_features,69d0gZwwmPtEKC69IANjWW,spotify:track:69d0gZwwmPtEKC69IANjWW,https://api.spotify.com/v1/tracks/69d0gZwwmPtEKC69IANjWW,https://api.spotify.com/v1/audio-analysis/69d0gZwwmPtEKC69IANjWW,131250,1,Elliot Ziegler,Gaillardia
0.41,0.0206,0,-29.954,1,0.0434,0.993,0.918,0.0793,0.215,86.998,audio_features,0rIILfeK7DEyWgCqUtvH0z,spotify:track:0rIILfeK7DEyWgCqUtvH0z,https://api.spotify.com/v1/tracks/0rIILfeK7DEyWgCqUtvH0z,https://api.spotify.com/v1/audio-analysis/0rIILfeK7DEyWgCqUtvH0z,168000,1,Reivaj Ebol,The Farewell
0.52,0.0486,0,-22.743,0,0.0309,0.993,0.939,0.107,0.355,77.663,audio_features,5WHAPNyWoUYm8TB13lAVTX,spotify:track:5WHAPNyWoUYm8TB13lAVTX,https://api.spotify.com/v1/tracks/5WHAPNyWoUYm8TB13lAVTX,https://api.spotify.com/v1/audio-analysis/5WHAPNyWoUYm8TB13lAVTX,139995,4,Albin Svensson,Skärgård
0.485,0.151,3,-30.31,0,0.0313,0.986,0.911,0.108,0.345,61.566,audio_features,0YFMpvuxexjjj8lZKYRCrD,spotify:track:0YFMpvuxexjjj8lZKYRCrD,https://api.spotify.com/v1/tracks/0YFMpvuxexjjj8lZKYRCrD,https://api.spotify.com/v1/audio-analysis/0YFMpvuxexjjj8lZKYRCrD,179250,4,Valérie Beaumont,The Owl
0.418,0.0602,5,-29.449,1,0.0326,0.994,0.889,0.0934,0.173,77.979,audio_features,0DCuRxadki9VQU5pskJrUG,spotify:track:0DCuRxadki9VQU5pskJrUG,https://api.spotify.com/v1/tracks/0DCuRxadki9VQU5pskJrUG,https://api.spotify.com/v1/audio-analysis/0DCuRxadki9VQU5pskJrUG,174000,1,Kiara Leonard,Larks
